| Natural Language Question | MongoDB Query | Collection Name |
| Find restaurants at coordinate [-73.9, 40.8] with grade date on or after 2023-01-01. | `db.restaurants.find({ 'address.coord': [ -73.9, 40.8 ], 'grades.date': { $gte: ISODate('2023-01-01') } })` | restaurants |
| Find restaurants with Japanese cuisine and grade score between 20 and 30. | `db.restaurants.find({ cuisine: 'Japanese', 'grades.score': { $gte: 20, $lte: 30 } })` | restaurants |
| Find restaurants named 'Pizzeria' in Brooklyn borough. | `db.restaurants.find({ 'address.borough': 'Brooklyn', name: 'Pizzeria' })` | restaurants |
| Find restaurants with zipcode 10003 and grade 'A'. | `db.restaurants.find({ 'address.zipcode': '10003', 'grades.grade': 'A' })` | restaurants |
| Find restaurants on Park Ave street and having grade score of 28. | `db.restaurants.find({ 'address.street': 'Park Ave', 'grades.score': 28 })` | restaurants |

| Find restaurants with grade score of 10. | `db.restaurants.find({ 'grades.score': 10 })` | restaurants |
| Find restaurants with no grades. | `db.restaurants.find({ grades: { $size: 0 } })` | restaurants |
| Find restaurants with cuisine 'American' and borough 'Staten Island'. | `db.restaurants.find({ cuisine: 'American', 'address.borough': 'Staten Island' })` | restaurants |
| Find restaurants with name containing 'Pizza'. | `db.restaurants.find({ name: { $regex: /Pizza/i } })` | restaurants |
| Find restaurants with building number '1' and zipcode '10001'. | `db.restaurants.find({ 'address.building': '1', 'address.zipcode': '10001' })` | restaurants |
| Find restaurants with grade date in March 2023. | `db.restaurants.find({ 'grades.date': { $gte: ISODate('2023-03-01'), $lte: ISODate('2023-03-31') } })` | restaurants |
| Find restaurants with no address coordinate. | `db.restaurants.find({ 'address.coord': { $exists: false } })` | restaurants |
| Find restaurants with grade 'A' or 'B'. | `db.restaurants.find({ 'grades.grade': { $in: ['A', 'B'] } })` | restaurants |
| Find restaurants with name starting with 'Mc'. | `db.restaurants.find({ name: { $regex: /^Mc/ } })` | restaurants |
| Find restaurants with cuisine 'Spanish' and borough 'Bronx'. | `db.restaurants.find({ cuisine: 'Spanish', 'address.borough': 'Bronx' })` | restaurants |
| Find restaurants with grade score less than 15. | `db.restaurants.find({ 'grades.score': { $lt: 15 } })` | restaurants |
| Find restaurants with no street name. | `db.restaurants.find({ 'address.street': { $exists: false } })` | restaurants |
| Find restaurants with name ending with 'Cafe'. | `db.restaurants.find({ name: { $regex: /Cafe$/ } })` | restaurants |
| Find restaurants with cuisine 'Greek' and zipcode '11101'. | `db.restaurants.find({ cuisine: 'Greek', 'address.zipcode': '11101' })` | restaurants |
| Find restaurants with grade 'C' or no grade. | `db.restaurants.find({ $or: [{ 'grades.grade': 'C' }, { grades: { $size: 0 } }] })` | restaurants |
| Find restaurants with building number '100' and borough 'Queens'. | `db.restaurants.find({ 'address.building': '100', 'address.borough': 'Queens' })` | restaurants |
| Find restaurants with grade date in February 2022. | `db.restaurants.find({ 'grades.date': { $gte: ISODate('2022-02-01'), $lte: ISODate('2022-02-28') } })` | restaurants |
| Find restaurants with name containing 'Deli'. | `db.restaurants.find({ name: { $regex: /Deli/i } })` | restaurants |
| Find restaurants with cuisine 'Vietnamese' and borough 'Manhattan'. | `db.restaurants.find({ cuisine: 'Vietnamese', 'address.borough': 'Manhattan' })` | restaurants |
| Find restaurants with grade score greater than 25 and less than 30. | `db.restaurants.find({ 'grades.score': { $gt: 25, $lt: 30 } })` | restaurants |
| Find restaurants with no building number. | `db.restaurants.find({ 'address.building': { $exists: false } })` | restaurants |
| Find restaurants with name starting with 'The '. | `db.restaurants.find({ name: { $regex: /^The / } })` | restaurants |
| Find restaurants with cuisine 'Turkish' and borough 'Brooklyn'. | `db.restaurants.find({ cuisine: 'Turkish', 'address.borough': 'Brooklyn' })` | restaurants |
| Find restaurants with grade score of 20 or 25. | `db.restaurants.find({ 'grades.score': { $in: [20, 25] } })` | restaurants |
| Find restaurants with no zipcode. | `db.restaurants.find({ 'address.zipcode': { $exists: false } })` | restaurants |
| Find restaurants with name containing 'Bakery'. | `db.restaurants.find({ name: { $regex: /Bakery/i } })` | restaurants |
| Find restaurants with cuisine 'Indian' and borough 'Queens'. | `db.restaurants.find({ cuisine: 'Indian', 'address.borough': 'Queens' })` | restaurants |
| Find restaurants with grade 'B' and score greater than or equal to 20. | `db.restaurants.find({ 'grades.grade': 'B', 'grades.score': { $gte: 20 } })` | restaurants |
| Find restaurants with building number '200' and borough 'Bronx'. | `db.restaurants.find({ 'address.building': '200', 'address.borough': 'Bronx' })` | restaurants |
| Find restaurants with grade date in December 2021. | `db.restaurants.find({ 'grades.date': { $gte: ISODate('2021-12-01'), $lte: ISODate('2021-12-31') } })` | restaurants |

| Find all movies with a Rotten Tomatoes critics rating greater than 90%. | `db.movies.find({"tomatoes.critic.rating": {$gt: 9}})` | movies |
| Get the titles of movies with an IMDB rating greater than 8.5. | `db.movies.find({"imdb.rating": {$gt: 8.5}}, {title: 1, _id: 0})` | movies |
| Get the movie titles and plots for movies with more than 1000 IMDB votes. | `db.movies.find({"imdb.votes": {$gt: 1000}}, {title: 1, plot: 1, _id: 0})` | movies |
| Find all movies with at least one writer in the "writers" array. | `db.movies.find({writers: {$exists: true, $ne: []}})` | movies |
| Find all movies with a Rotten Tomatoes viewer rating greater than 4 and sort them by title. | `db.movies.find({"tomatoes.viewer.rating": {$gt: 4}}).sort({title: 1})` | movies |
| Count the number of movies in each genre. | `db.movies.aggregate([{$unwind: "$genres"}, {$group: {_id: "$genres", count: {$sum: 1}}}])` | movies |
| Find all movies with the word "Adventure" in the plot. | `db.movies.find({plot: /Adventure/i})` | movies |
| Get the movie titles and IMDB ratings for movies with more than 10 awards wins. | `db.movies.find({"awards.wins": {$gt: 10}}, {title: 1, "imdb.rating": 1, _id: 0})` | movies |
| Find all movies with at least one director in common with the movie "Inception". | `db.movies.find({directors: {$in: (db.movies.findOne({title: "Inception"}).directors)}})` | movies |
| Get the movie titles and genres for movies with a Rotten Tomatoes critics rating greater than 90% and an IMDB rating greater than 8.5. | `db.movies.find({"tomatoes.critic.rating": {$gt: 9}, "imdb.rating": {$gt: 8.5}}, {title: 1, genres: 1, _id: 0})` | movies |
| Count the number of movies with more than 5 languages. | `db.movies.count({languages: {$size: {$gt: 5}}})` | movies |
| Find all movies with a Rotten Tomatoes viewer rating greater than 4 and sort them by year in ascending order. | `db.movies.find({"tomatoes.viewer.rating": {$gt: 4}}).sort({year: 1})` | movies |
| Get the movie titles and plots for movies with at least one cast member in common with the movie "The Shawshank Redemption". | `db.movies.find({cast: {$in: (db.movies.findOne({title: "The Shawshank Redemption"}).cast)}}, {title: 1, plot: 1, _id: 0})` | movies |
| Find all movies with a runtime greater than 180 minutes and sort them by IMDB rating in descending order. | `db.movies.find({runtime: {$gt: 180}}).sort({"imdb.rating": -1})` | movies |
| Get the movie titles and genres for movies with more than 1000 IMDB votes and a Rotten Tomatoes critics rating greater than 90%. | `db.movies.find({"imdb.votes": {$gt: 1000}, "tomatoes.critic.rating": {$gt: 9}}, {title: 1, genres: 1, _id: 0})` | movies |
| Count the number of movies with a Rotten Tomatoes viewer rating greater than 4 and an IMDB rating greater than 8.5. | `db.movies.count({"tomatoes.viewer.rating": {$gt: 4}, "imdb.rating": {$gt: 8.5}})` | movies |
| Find all movies with the genre "Drama" and a runtime between 90 and 120 minutes, sorted by year in descending order. | `db.movies.find({genres: "Drama", runtime: {$gte: 90, $lte: 120}}).sort({year: -1})` | movies |
| Get the movie titles and directors for movies with more than 10 awards nominations. | `db.movies.find({"awards.nominations": {$gt: 10}}, {title: 1, directors: 1, _id: 0})` | movies |
| Find all movies with at least one writer in common with the movie "The Godfather". | `db.movies.find({writers: {$in: (db.movies.findOne({title: "The Godfather"}).writers)}})` | movies |
| Get the movie titles and plots for movies with a Rotten Tomatoes critics rating greater than 90% and an IMDB rating greater than 8.5, sorted by title. | `db.movies.find({"tomatoes.critic.rating": {$gt: 9}, "imdb.rating": {$gt: 8.5}}).sort({title: 1})` | movies |
| Count the number of movies with more than 10 awards wins and more than 1000 IMDB votes. | `db.movies.count({"awards.wins": {$gt: 10}, "imdb.votes": {$gt: 1000}})` | movies |
| Find all movies with the genre "Action" and a runtime between 90 and 120 minutes, sorted by IMDB rating in descending order. | `db.movies.find({genres: "Action", runtime: {$gte: 90, $lte: 120}}).sort({"imdb.rating": -1})` | movies |
| Get the movie titles and genres for movies with a Rotten Tomatoes viewer rating greater than 4 and an IMDB rating greater than 8.5, sorted by year in ascending order. | `db.movies.find({"tomatoes.viewer.rating": {$gt: 4}, "imdb.rating": {$gt: 8.5}}).sort({year: 1})` | movies |

| Find all movies with a runtime greater than 180 minutes and a Rotten Tomatoes viewer rating greater than 4. | `db.movies.find({runtime: {$gt: 180}, "tomatoes.viewer.rating": {$gt: 4}})` | movies |
| Count the number of movies directed by multiple directors. | `db.movies.count({directors: {$size: {$gt: 1}}})` | movies |
| Find all movies with a Rotten Tomatoes critics rating greater than 90% and an IMDB rating greater than 8.5, sorted by IMDB votes in descending order. | `db.movies.find({"tomatoes.critic.rating": {$gt: 9}, "imdb.rating": {$gt: 8.5}}).sort({"imdb.votes": -1})` | movies |
| Get the titles of movies with an IMDB rating between 7.5 and 8.0. | `db.movies.find({"imdb.rating": {$gte: 7.5, $lt: 8.0}}, {title: 1, _id: 0})` | movies |
| Find all movies with the genre "Romance" and sort them by IMDB rating in descending order. | `db.movies.find({genres: "Romance"}).sort({"imdb.rating": -1})` | movies |
| Get the movie titles and plots for movies with more than 10,000 IMDB votes. | `db.movies.find({"imdb.votes": {$gt: 10000}}, {title: 1, plot: 1, _id: 0})` | movies |
| Find all movies with at least one cast member in common with the movie "The Dark Knight". | `db.movies.find({cast: {$in: (db.movies.findOne({title: "The Dark Knight"}).cast)}})` | movies |
| Count the number of movies in each IMDB rating range (e.g., 0-2, 2-4, 4-6, 6-8, 8-10). | `db.movies.aggregate([{$bucket: {groupBy: "$imdb.rating", boundaries: [0, 2, 4, 6, 8, 10], default: "Other", output: {count: {$sum: 1}}}}, {$sort: {_id: 1}}])` | movies |
| Get the titles of movies with more than 5 countries in the "countries" array. | `db.movies.find({countries: {$size: {$gt: 5}}}, {title: 1, _id: 0})` | movies |
| Find all movies with a Rotten Tomatoes viewer rating greater than 4 and sort them by IMDB votes in descending order. | `db.movies.find({"tomatoes.viewer.rating": {$gt: 4}}).sort({"imdb.votes": -1})` | movies |
| Get the movie titles and directors for all movies with a runtime between 60 and 90 minutes. | `db.movies.find({runtime: {$gte: 60, $lte: 90}}, {title: 1, directors: 1, _id: 0})` | movies |
| Count the number of movies in each language. | `db.movies.aggregate([{$unwind: "$languages"}, {$group: {_id: "$languages", count: {$sum: 1}}}])` | movies |
| Find all movies with the word "Love" in the title. | `db.movies.find({title: /Love/i})` | movies |
| Get the movie titles and IMDB ratings for movies with more than 5 awards wins and more than 10,000 IMDB votes. | `db.movies.find({"awards.wins": {$gt: 5}, "imdb.votes": {$gt: 10000}}, {title: 1, "imdb.rating": 1, _id: 0})` | movies |
| Find all movies with at least one director in common with the movie "The Lord of the Rings: The Fellowship of the Ring". | `db.movies.find({directors: {$in: (db.movies.findOne({title: "The Lord of the Rings: The Fellowship of the Ring"}).directors)}})` | movies |
| Get the movie titles and genres for movies with a Rotten Tomatoes critics rating greater than 90% and an IMDB rating between 7.5 and 8.0. | `db.movies.find({"tomatoes.critic.rating": {$gt: 9}, "imdb.rating": {$gte: 7.5, $lt: 8.0}}, {title: 1, genres: 1, _id: 0})` | movies |
| Count the number of movies with more than 10 languages. | `db.movies.count({languages: {$size: {$gt: 10}}})` | movies |
| Find all movies with a Rotten Tomatoes viewer rating greater than 4 and sort them by IMDB rating in ascending order. | `db.movies.find({"tomatoes.viewer.rating": {$gt: 4}}).sort({"imdb.rating": 1})` | movies |
| Get the movie titles and plots for movies with at least one cast member in common with the movie "Forrest Gump". | `db.movies.find({cast: {$in: (db.movies.findOne({title: "Forrest Gump"}).cast)}}, {title: 1, plot: 1, _id: 0})` | movies |
| Find all movies with a runtime greater than 180 minutes and sort them by Rotten Tomatoes viewer rating in descending order. | `db.movies.find({runtime: {$gt: 180}}).sort({"tomatoes.viewer.rating": -1})` | movies |
| Get the movie titles and genres for movies with more than 1000 IMDB votes and a Rotten Tomatoes viewer rating greater than 4. | `db.movies.find({"imdb.votes": {$gt: 1000}, "tomatoes.viewer.rating": {$gt: 4}}, {title: 1, genres: 1, _id: 0})` | movies |
| Count the number of movies with a Rotten Tomatoes viewer rating greater than 4 and an IMDB rating between 7.5 and 8.0. | `db.movies.count({"tomatoes.viewer.rating": {$gt: 4}, "imdb.rating": {$gte: 7.5, $lt: 8.0}})` | movies |
| Get the movie titles and directors for movies with more than 10 awards nominations and a Rotten Tomatoes viewer rating greater than 4. | `db.movies.find({"awards.nominations": {$gt: 10}, "tomatoes.viewer.rating": {$gt: 4}}, {title: 1, directors: 1, _id: 0})` | movies |
| Find all movies with at least one writer in common with the movie "The Shawshank Redemption". | `db.movies.find({writers: {$in: (db.movies.findOne({title: "The Shawshank Redemption"}).writers)}})` | movies |
| Get the movie titles and plots for movies with a Rotten Tomatoes critics rating greater than 90% and an IMDB rating between 7.5 and 8.0, sorted by title. | `db.movies.find({"tomatoes.critic.rating": {$gt: 9}, "imdb.rating": {$gte: 7.5, $lt: 8.0}}).sort({title: 1})` | movies |
| Count the number of movies with more than 10 awards wins and more than 10,000 IMDB votes. | `db.movies.count({"awards.wins": {$gt: 10}, "imdb.votes": {$gt: 10000}})` | movies |
| Find all movies with the genre "Thriller" and a runtime between 90 and 120 minutes, sorted by IMDB rating in descending order. | `db.movies.find({genres: "Thriller", runtime: {$gte: 90, $lte: 120}}).sort({"imdb.rating": -1})` | movies |
| Get the movie titles and genres for movies with a Rotten Tomatoes viewer rating greater than 4 and an IMDB rating greater than 8.5, sorted by year in descending order. | `db.movies.find({"tomatoes.viewer.rating": {$gt: 4}, "imdb.rating": {$gt: 8.5}}).sort({year: -1})` | movies |

| Get the address details of theaters in the city of Los Angeles | `db.theaters.find({ "location.address.city": "Los Angeles" }, { "location.address": 1 })` | theaters |
| Find theaters with the street name "Broadway" | `db.theaters.find({ "location.address.street1": /Broadway/i })` | theaters |
| Get theaters with a location type other than "Point" | `db.theaters.find({ "location.geo.type": { $ne: "Point" } })` | theaters |
| Find theaters with coordinates within the range of longitude -122.5 to -122.3 and latitude 37.7 to 37.8 (San Francisco area) | `db.theaters.find({ "location.geo.coordinates": { $elemMatch: { $gte: [-122.5, 37.7], $lte: [-122.3, 37.8] } } })` | theaters |
| Get the count of theaters in each state of the United States | `db.theaters.aggregate([{ $group: { _id: "$location.address.state", count: { $sum: 1 } } }])` | theaters |
| Find theaters with the zip code "90001" (Los Angeles area) | `db.theaters.find({ "location.address.zipcode": "90001" })` | theaters |
| Get the theater with the maximum theater ID | `db.theaters.find().sort({ theaterId: -1 }).limit(1)` | theaters |
| Find theaters with multiple address lines | `db.theaters.find({ "location.address.street1": { $exists: true, $ne: "" } })` | theaters |
| Get theaters with latitude and longitude within the range of 40.6 to 40.9 and -74.1 to -73.9 (New York City area) | `db.theaters.find({ "location.geo.coordinates": { $elemMatch: { $gte: [-74.1, 40.6], $lte: [-73.9, 40.9] } } })` | theaters |
| Find theaters in the city of Chicago and state of Illinois | `db.theaters.find({ "location.address.city": "Chicago", "location.address.state": "IL" })` | theaters |
| Get the count of theaters in each city of California | `db.theaters.aggregate([{ $match: { "location.address.state": "CA" } }, { $group: { _id: "$location.address.city", count: { $sum: 1 } } }])` | theaters |
| Find the theater with the ID 1234 | `db.theaters.find({ theaterId: 1234 })` | theaters |
| Get the theater with the minimum theater ID | `db.theaters.find().sort({ theaterId: 1 }).limit(1)` | theaters |
| Get the count of theaters in each zip code of the state of Texas | `db.theaters.aggregate([{ $match: { "location.address.state": "TX" } }, { $group: { _id: "$location.address.zipcode", count: { $sum: 1 } } }])` | theaters |
| Find theaters on "Main Street" in the city of Seattle and state of Washington | `db.theaters.find({ "location.address.street1": "Main Street", "location.address.city": "Seattle", "location.address.state": "WA" })` | theaters |
| Get theaters with the longitude -87.6298 and latitude 41.8781 (Chicago area) | `db.theaters.find({ "location.geo.coordinates": [-87.6298, 41.8781] })` | theaters |
| Find theaters with coordinates within the bounding box of longitude -118.5 to -118.2 and latitude 34.0 to 34.2 (Los Angeles area) | `db.theaters.find({ location.geo: { $geoWithin: { $box: [ [-118.5, 34.0], [-118.2, 34.2] ] } } })` | theaters |
| Get the count of theaters with the location type "Point" | `db.theaters.aggregate([{ $match: { "location.geo.type": "Point" } }, { $group: { _id: null, count: { $sum: 1 } } }])` | theaters |
| Find theaters with the street number and name "123 Main St" | `db.theaters.find({ "location.address.street1": /^123 Main St/i })` | theaters |
| Get theaters in the zip code "60601" and city of Chicago | `db.theaters.find({ "location.address.zipcode": "60601", "location.address.city": "Chicago" })` | theaters |
| Find theaters in the state of Florida and zip code "33101" | `db.theaters.find({ "location.address.state": "FL", "location.address.zipcode": "33101" })` | theaters |
| Get the count of theaters on "Broadway" in New York City | `db.theaters.aggregate([{ $match: { "location.address.street1": /Broadway/i, "location.address.city": "New York" } }, { $group: { _id: null, count: { $sum: 1 } } }])` | theaters |
| Find theaters on "123 Main St" in the city of Los Angeles, state of California, and zip code "90001" | `db.theaters.find({ "location.address.street1": "123 Main St", "location.address.city": "Los Angeles", "location.address.state": "CA", "location.address.zipcode": "90001" })` | theaters |
| Get theaters with the street suffix "Ave" in the city of Boston | `db.theaters.find({ "location.address.street1": /Ave\\b/i, "location.address.city": "Boston" })` | theaters |
| Find theaters with the location type "Point" and coordinates within the range of longitude -122.5 to -122.3 and latitude 37.7 to 37.8 (San Francisco area) | `db.theaters.find({ "location.geo.type": "Point", "location.geo.coordinates": { $elemMatch: { $gte: [-122.5, 37.7], $lte: [-122.3, 37.8] } } })` | theaters |
| Get the count of theaters in the city of Miami and state of Florida | `db.theaters.aggregate([{ $match: { "location.address.city": "Miami", "location.address.state": "FL" } }, { $group: { _id: null, count: { $sum: 1 } } }])` | theaters |
| Find theaters with the street direction "N" or "S" in the city of Philadelphia | `db.theaters.find({ "location.address.street1": /\\b(N|S)\\b/i, "location.address.city": "Philadelphia" })` | theaters |

| Find theaters on streets starting with "North" in the city of Seattle | `db.theaters.find({ "location.address.street1": /^North/i, "location.address.city": "Seattle" })` | theaters |
| Get the count of theaters in zip codes starting with "900" (Los Angeles area) | `db.theaters.aggregate([{ $match: { "location.address.zipcode": /^900/ } }, { $group: { _id: null, count: { $sum: 1 } } }])` | theaters |
| Find theaters with coordinates within a 10-mile radius of the Eiffel Tower, Paris | `db.theaters.find({ location.geo: { $near: { $geometry: { type: "Point", coordinates: [2.2945, 48.8584] }, $maxDistance: 10 * 1609.34 } } })` | theaters |
| Get theaters with the street number "1234" in the state of Texas | `db.theaters.find({ "location.address.street1": /^1234/i, "location.address.state": "TX" })` | theaters |
| Find theaters with the word "Theater" in their street address in the city of Chicago | `db.theaters.find({ "location.address.street1": /Theater/i, "location.address.city": "Chicago" })` | theaters |
| Get the count of theaters in each city of the state of Florida | `db.theaters.aggregate([{ $match: { "location.address.state": "FL" } }, { $group: { _id: "$location.address.city", count: { $sum: 1 } } }])` | theaters |
| Find theaters with the street suffix "Blvd" in the city of Denver | `db.theaters.find({ "location.address.street1": /Blvd\\b/i, "location.address.city": "Denver" })` | theaters |
| Find theaters on streets ending with "Road" in the city of Atlanta | `db.theaters.find({ "location.address.street1": /Road$/i, "location.address.city": "Atlanta" })` | theaters |
| Get the count of theaters with the location type "MultiPoint" | `db.theaters.aggregate([{ $match: { "location.geo.type": "MultiPoint" } }, { $group: { _id: null, count: { $sum: 1 } } }])` | theaters |
| Find theaters with the zip code "60605" in the city of Chicago | `db.theaters.find({ "location.address.zipcode": "60605", "location.address.city": "Chicago" })` | theaters |
| Get theaters with coordinates within a 2-mile radius of the London Eye, London | `db.theaters.find({ location.geo: { $near: { $geometry: { type: "Point", coordinates: [-0.1198, 51.5033] }, $maxDistance: 2 * 1609.34 } } })` | theaters |
| Find theaters with the street direction "E" or "W" in the city of Houston | `db.theaters.find({ "location.address.street1": /\\b(E|W)\\b/i, "location.address.city": "Houston" })` | theaters |
| Get the count of theaters in each state starting with "M" | `db.theaters.aggregate([{ $match: { "location.address.state": /^M/ } }, { $group: { _id: "$location.address.state", count: { $sum: 1 } } }])` | theaters |
| Find theaters with the street number "456" and street name "Oak Street" | `db.theaters.find({ "location.address.street1": /^456 Oak St/i })` | theaters |
| Get theaters with coordinates within the bounding box of longitude -77.15 to -77.0 and latitude 38.85 to 38.95 (Washington D.C. area) | `db.theaters.find({ location.geo: { $geoWithin: { $box: [ [-77.15, 38.85], [-77.0, 38.95] ] } } })` | theaters |
| Find theaters on streets containing the word "Park" in the city of San Diego | `db.theaters.find({ "location.address.street1": /Park/i, "location.address.city": "San Diego" })` | theaters |
| Get the count of theaters in zip codes ending with "01" in the state of Massachusetts | `db.theaters.aggregate([{ $match: { "location.address.state": "MA", "location.address.zipcode": /01$/ } }, { $group: { _id: null, count: { $sum: 1 } } }])` | theaters |
| Find theaters with the street direction "NE" or "NW" in the city of Portland | `db.theaters.find({ "location.address.street1": /\\b(NE|NW)\\b/i, "location.address.city": "Portland" })` | theaters |
| Get theaters with coordinates within a 3-mile radius of the Sydney Opera House, Sydney | `db.theaters.find({ location.geo: { $near: { $geometry: { type: "Point", coordinates: [151.2153, -33.8568] }, $maxDistance: 3 * 1609.34 } } })` | theaters |
| Find theaters with the street number "789" and street name "Maple Avenue" in the city of Boston | `db.theaters.find({ "location.address.street1": /^789 Maple Ave/i, "location.address.city": "Boston" })` | theaters |
| Get the count of theaters in zip codes starting with "900" in the state of California | `db.theaters.aggregate([{ $match: { "location.address.state": "CA", "location.address.zipcode": /^900/ } }, { $group: { _id: null, count: { $sum: 1 } } }])` | theaters |
| Find theaters with the word "Cinema" in their street address in the city of Miami | `db.theaters.find({ "location.address.street1": /Cinema/i, "location.address.city": "Miami" })` | theaters |
| Find theaters on streets ending with "Lane" in the city of Austin | `db.theaters.find({ "location.address.street1": /Lane$/i, "location.address.city": "Austin" })` | theaters |
| Get the count of theaters with the location type "LineString" | `db.theaters.aggregate([{ $match: { "location.geo.type": "LineString" } }, { $group: { _id: null, count: { $sum: 1 } } }])` | theaters |
| Find theaters with the zip code "90068" in the city of Los Angeles | `db.theaters.find({ "location.address.zipcode": "90068", "location.address.city": "Los Angeles" })` | theaters |
| Get theaters with coordinates within a 5-mile radius of the Golden Gate Bridge, San Francisco | `db.theaters.find({ location.geo: { $near: { $geometry: { type: "Point", coordinates: [-122.4783, 37.8199] }, $maxDistance: 5 * 1609.34 } } })` | theaters |
| Find theaters with the street direction "SE" or "SW" in the city of Phoenix | `db.theaters.find({ "location.address.street1": /\\b(SE|SW)\\b/i, "location.address.city": "Phoenix" })` | theaters |

| Find customers with multiple accounts | `db.customers.find({"accounts": {"$exists": true, "$not": {"$size": 0}}})` | customers |
| Find customers with tier level 'premium' | `db.customers.find({"tier_and_details.tier": "premium"})` | customers |
| Find customers with benefit 'free_shipping' | `db.customers.find({"tier_and_details.benefits": "free_shipping"})` | customers |
| Find active customers | `db.customers.find({"tier_and_details.active": true})` | customers |
| Find customers with tier ID 'PREM001' | `db.customers.find({"tier_and_details.id": "PREM001"})` | customers |
| Find customers born in 1980 | `db.customers.find({"birthdate": {"$gte": new Date("1980-01-01"), "$lt": new Date("1981-01-01")}})` | customers |
| Find customers with name 'John Doe' and address '123 Main St' | `db.customers.find({"name": "John Doe", "address": "123 Main St"})` | customers |
| Count customers with tier level 'premium' | `db.customers.countDocuments({"tier_and_details.tier": "premium"})` | customers |
| Group customers by tier level | `db.customers.aggregate([{"$group": {"_id": "$tier_and_details.tier", "count": {"$sum": 1}}}])` | customers |
| Find customers with name 'John Doe' and tier level 'premium' | `db.customers.find({"name": "John Doe", "tier_and_details.tier": "premium"})` | customers |
| Find customers with account 123456 and tier level 'premium' | `db.customers.find({"accounts": 123456, "tier_and_details.tier": "premium"})` | customers |
| Find customers with benefit 'free_shipping' and active status true | `db.customers.find({"tier_and_details.benefits": "free_shipping", "tier_and_details.active": true})` | customers |
| Find customers with multiple benefits | `db.customers.find({"tier_and_details.benefits": {"$exists": true, "$not": {"$size": 0}}})` | customers |
| Find customers with name 'John Doe' born in 1980 | `db.customers.find({"name": "John Doe", "birthdate": {"$gte": new Date("1980-01-01"), "$lt": new Date("1981-01-01")}})` | customers |
| Find customers with tier level 'premium' born in 1980 | `db.customers.find({"tier_and_details.tier": "premium", "birthdate": {"$gte": new Date("1980-01-01"), "$lt": new Date("1981-01-01")}})` | customers |
| Find customers with email 'john@example.com' and account 123456 | `db.customers.find({"email": "john@example.com", "accounts": 123456})` | customers |
| Find customers with username 'john_doe' and tier ID 'PREM001' | `db.customers.find({"username": "john_doe", "tier_and_details.id": "PREM001"})` | customers |
| Find customers with name 'John Doe' and multiple accounts | `db.customers.find({"name": "John Doe", "accounts": {"$exists": true, "$not": {"$size": 0}}})` | customers |
| Find customers with address '123 Main St' and benefit 'free_shipping' | `db.customers.find({"address": "123 Main St", "tier_and_details.benefits": "free_shipping"})` | customers |
| Find customers born in 1980 with tier ID 'PREM001' | `db.customers.find({"birthdate": {"$gte": new Date("1980-01-01"), "$lt": new Date("1981-01-01")}, "tier_and_details.id": "PREM001"})` | customers |
| Find customers with email 'john@example.com' and multiple benefits | `db.customers.find({"email": "john@example.com", "tier_and_details.benefits": {"$exists": true, "$not": {"$size": 0}}})` | customers |
| Find customers with username 'john_doe' and inactive status | `db.customers.find({"username": "john_doe", "tier_and_details.active": false})` | customers |
| Find customers with name 'John Doe', tier ID 'PREM001', and benefit 'free_shipping' | `db.customers.find({"name": "John Doe", "tier_and_details.id": "PREM001", "tier_and_details.benefits": "free_shipping"})` | customers |

| Find customers with tier level not 'premium' | `db.customers.find({"tier_and_details.tier": {"$ne": "premium"}})` | customers |
| Find customers without any benefits | `db.customers.find({"tier_and_details.benefits": []})` | customers |
| Find customers with inactive status | `db.customers.find({"tier_and_details.active": false})` | customers |
| Find customers with tier ID 'PREM001' or 'PREM002' | `db.customers.find({"tier_and_details.id": {"$in": ["PREM001", "PREM002"]}})` | customers |
| Find customers with name 'John Doe' or 'Jane Smith' | `db.customers.find({"name": {"$in": ["John Doe", "Jane Smith"]}})` | customers |
| Count customers with tier level 'basic' | `db.customers.countDocuments({"tier_and_details.tier": "basic"})` | customers |
| Group customers by active status | `db.customers.aggregate([{"$group": {"_id": "$tier_and_details.active", "count": {"$sum": 1}}}])` | customers |
| Find customers with name not 'John Doe' and tier level not 'premium' | `db.customers.find({"name": {"$ne": "John Doe"}, "tier_and_details.tier": {"$ne": "premium"}})` | customers |
| Find customers with account not 123456 and tier level 'premium' | `db.customers.find({"accounts": {"$ne": 123456}, "tier_and_details.tier": "premium"})` | customers |
| Find customers with benefit 'free_shipping' and inactive status | `db.customers.find({"tier_and_details.benefits": "free_shipping", "tier_and_details.active": false})` | customers |
| Find customers with multiple benefits and active status | `db.customers.find({"tier_and_details.benefits": {"$exists": true, "$not": {"$size": 0}}, "tier_and_details.active": true})` | customers |
| Find customers with tier level 'premium' not born in 1980 | `db.customers.find({"tier_and_details.tier": "premium", "birthdate": {"$not": {"$gte": new Date("1980-01-01"), "$lt": new Date("1981-01-01")}}})` | customers |
| Find customers with username not 'john_doe' and tier ID 'PREM001' | `db.customers.find({"username": {"$ne": "john_doe"}, "tier_and_details.id": "PREM001"})` | customers |
| Find customers with name not 'John Doe' and multiple accounts | `db.customers.find({"name": {"$ne": "John Doe"}, "accounts": {"$exists": true, "$not": {"$size": 0}}})` | customers |
| Find customers with address not '123 Main St' and benefit 'free_shipping' | `db.customers.find({"address": {"$ne": "123 Main St"}, "tier_and_details.benefits": "free_shipping"})` | customers |
